source,canonical,type,permitted_codes,unit
code_n,patient_id,id,,id
AGE,age,years,,years
GENDER,sex,category,1;2,category
D_DIAG,diagnosis,category,1;2,category
BSL_CYSC,cysc,mg/L,,mg/L
H_SMK,smoking,category,1;2;3;4,category
H_DRINK,drinking,category,1;2;3;4,category
H_HYPT,hypertension,category,1;2,category
H_DIAB,diabetes,category,1;2,category
H_STROKE,prior_stroke,category,1;2,category
A_NIHSS,nihss,score,,score
IMG_C_TOAST,toast,category,1;2;3;4;5,category
H_MRS,pre_mrs,score,,score
F12_MRS,mrs12,score,,score
ONSET_D,onset_date,date,,date
I_BLDSAMP_DT,sample_date,datetime,,datetime
y1_is,is_event,category,0;1,category
y1_is_dd,is_day,days,,days
D_DEATH,hospital_death,category,1;2,category
D_DEATH_D,hospital_death_date,date,,date
F3_DATE,visit3_date,date,,date
F3_DEATH,death3,category,1;2,category
F3_DEATH_D,death3_date,date,,date
F6_DEATH,death6,category,1;2,category
F6_DEATH_D,death6_date,date,,date
F12_DATE,visit12_date,date,,date
F12_DEATH,death12,category,1;2,category
F12_DEATH_D,death12_date,date,,date
y2_IS,y2_is_event,category,0;1,category
y2_IS_dd,y2_is_day,days,,days
m24_mrs,mrs24,score,,score
y3_IS,y3_is_event,category,0;1,category
y3_IS_dd,y3_is_day,days,,days
m36_mrs,mrs36,score,,score
y4_IS,y4_is_event,category,0;1,category
y4_IS_dd,y4_is_day,days,,days
m48_mrs,mrs48,score,,score
Y5_IS,y5_is_event,category,0;1,category
Y5_IS_DD,y5_is_day,days,,days
m60_mrs,mrs60,score,,score
EDUC,education,category,1;2;3;4;5,category
BMI,bmi,continuous,,kg/m2
H_CHD,chd,category,0;1,category
H_HD,heart_disease_gate,continuous,,continuous
H_CHD_TP,chd_type_present,presence,,presence
MH_HYPT,prior_bp_med,category,1;2,category
DM_HYPT,discharge_bp_med,category,1;2,category
DM_HYPT_ACEI,discharge_acei,category,0;1,category
DM_HYPT_ARB,discharge_arb,category,0;1,category
MH_LL,prior_lipid_med,category,1;2,category
MH_LL_STT,prior_statin,category,0;1,category
A_SBP,sbp0,continuous,,mmHg
F3_MRS,mrs3,score,0;1;2;3;4;5,score
D_MRS,discharge_mrs,score,0;1;2;3;4;5,score
IMG_ICAS,icas,category,1;2,category
CEC,cec,continuous,,%
BSL_HDL,hdl,continuous,,mmol/L
BSL_LDL,ldl,continuous,,mmol/L
BSL_TG,tg,continuous,,mmol/L
Apo_AI,apo_ai,continuous,,g/L
BSL_UACR,uacr0,continuous,,mg/mmol
M03_UACR,uacr3,continuous,,mg/mmol
M03_CYSC,cysc3,continuous,,mg/L
F3_LSBP,lsbp3,continuous,,mmHg
F3_LDBP,ldbp3,continuous,,continuous
F3_RSBP,rsbp3,continuous,,mmHg
F3_RDBP,rdbp3,continuous,,continuous
F12_LSBP,lsbp12,continuous,,continuous
F12_LDBP,ldbp12,continuous,,continuous
F12_RSBP,rsbp12,continuous,,continuous
F12_RDBP,rdbp12,continuous,,continuous
F2Y_DEATH,death24,category,1;2,category
F3Y_DEATH,death36,category,1;2,category
F4Y_DEATH,death48,category,1;2,category
F5Y_DEATH,death60,category,1;2,category
