analysis,study,tier,family,status,n,outcome_unknown,parameters,imputations,p,statistic,df1,df2,method,m,primary_terms,estimate,lower,upper,ratio,ratio_lower,ratio_upper,r,p_bh_secondary
primary,kidney,primary,multinomial,ESTIMATED,2103,0,68,2,0.32091338187221075,0.9852206509947778,1,2983231.2138238433,Rubin scalar Wald,2,dependent:albuminuria_3_x_wmh_ml,0.14564476085345335,-0.14194696085610803,0.4332364825630147,1.1567851796720212,0.8676672755949768,1.5422408906584988,,
complete_case,kidney,sensitivity,multinomial,ESTIMATED,1908,0,68,1,0.4445954843382006,0.5843931389072716,1,inf,Rubin scalar Wald,1,dependent:albuminuria_3_x_wmh_ml,0.11710279111676256,-0.18313322125664463,0.4173388034901697,1.1242349851210234,0.8326572207065062,1.5179167013019474,,
overall_interaction,kidney,secondary,multinomial,ESTIMATED,2103,0,68,2,0.7190910977196496,0.4474655165049118,3,1241841.8865813634,D1 pooled multivariate Wald,2,dependent:albuminuria_1_x_wmh_ml;dependent:albuminuria_2_x_wmh_ml;dependent:albuminuria_3_x_wmh_ml,,,,,,,0.0012706716517931667,0.7190910977196496
baseline_structure,kidney,secondary,ols,ESTIMATED,2400,0,22,2,0.18231881871034114,1.7786204791782352,1,80245376.07899038,Rubin scalar Wald,2,uacr0_log,-0.02317255404976861,-0.057227512687459826,0.010882404587922605,,,,,0.3646376374206823
continuous_uacr3,kidney,secondary,multinomial,ESTIMATED,2103,0,62,2,0.4783774642188613,0.5025599332162455,1,15513970298.55333,Rubin scalar Wald,2,dependent:uacr3_log_x_wmh_ml,0.0517391357341552,-0.09130607775868305,0.19478434922699345,1.0531009902617157,0.9127382992477032,1.2150489319931939,,0.6396992919516857
conditional_albuminuria,kidney,secondary,multinomial,ESTIMATED,2103,0,62,2,0.5330827432930715,0.38851174593248,1,10969734.80831465,Rubin scalar Wald,2,dependent:albuminuria_3,0.09072164364705977,-0.1945489278519434,0.3759922151460629,1.094964172600695,0.8232058995747832,1.4564357955870157,,0.6396992919516857
incremental_albuminuria,kidney,secondary,multinomial,ESTIMATED,2103,0,62,2,0.0016042953257227426,5.088044255689877,3,21633701.11145035,D1 pooled multivariate Wald,2,dependent:albuminuria_1;dependent:albuminuria_2;dependent:albuminuria_3,,,,,,,0.000304145681167662,0.004812885977168228
clinical_wmh_only,kidney,secondary,multinomial,ESTIMATED,2103,0,56,2,3.5849835856365834e-06,21.474857788386988,1,500204925741924.0,Rubin scalar Wald,2,dependent:wmh_ml,0.26772210921195017,0.15449063004345304,0.3809535883804473,1.3069838907620908,1.167063342673454,1.463679672089205,,2.15099015138195e-05
clinical_same_subset_core,kidney,sensitivity,multinomial,ESTIMATED,2103,0,68,2,0.32091338187221075,0.9852206509947778,1,2983231.2138238433,Rubin scalar Wald,2,dependent:albuminuria_3_x_wmh_ml,0.14564476085345335,-0.14194696085610803,0.4332364825630147,1.1567851796720212,0.8676672755949768,1.5422408906584988,,
clinical_extended,kidney,sensitivity,multinomial,ESTIMATED,2103,0,80,2,0.3677149240203315,0.8113720178311951,1,1700782069.2696037,Rubin scalar Wald,2,dependent:albuminuria_3_x_wmh_ml,0.13293801385503562,-0.15632124181893636,0.4221972695290076,1.1421791968512902,0.8552843931210433,1.5253093920716845,,
observation_weighted,kidney,sensitivity,multinomial,ESTIMATED,2103,165,68,2,0.3404498961483522,0.908736457449252,1,26462738181.55636,Rubin scalar Wald,2,dependent:albuminuria_3_x_wmh_ml,0.14319696217643163,-0.1512200628200187,0.43761398717288197,1.153957065179184,0.8596584989685242,1.5490068554835652,,
