wmh_percentile,sbp_left,sbp_right,n
25,87.09993561772879,91.1326824508859,1
25,91.1326824508859,95.16542928404299,0
25,95.16542928404299,99.19817611720009,1
25,99.19817611720009,103.23092295035718,7
25,103.23092295035718,107.26366978351429,8
25,107.26366978351429,111.2964166166714,11
25,111.2964166166714,115.32916344982848,17
25,115.32916344982848,119.36191028298559,31
25,119.36191028298559,123.3946571161427,44
25,123.3946571161427,127.42740394929979,54
25,127.42740394929979,131.46015078245688,56
25,131.46015078245688,135.492897615614,57
25,135.492897615614,139.5256444487711,50
25,139.5256444487711,143.5583912819282,53
25,143.5583912819282,147.5911381150853,46
25,147.5911381150853,151.6238849482424,58
25,151.6238849482424,155.65663178139948,22
25,155.65663178139948,159.68937861455657,24
25,159.68937861455657,163.7221254477137,15
25,163.7221254477137,167.75487228087079,10
25,167.75487228087079,171.7876191140279,6
25,171.7876191140279,175.820365947185,1
25,175.820365947185,179.8531127803421,1
25,179.8531127803421,183.88585961349918,3
25,183.88585961349918,187.9186064466563,1
50,87.09993561772879,91.1326824508859,0
50,91.1326824508859,95.16542928404299,4
50,95.16542928404299,99.19817611720009,7
50,99.19817611720009,103.23092295035718,5
50,103.23092295035718,107.26366978351429,12
50,107.26366978351429,111.2964166166714,12
50,111.2964166166714,115.32916344982848,11
50,115.32916344982848,119.36191028298559,27
50,119.36191028298559,123.3946571161427,32
50,123.3946571161427,127.42740394929979,62
50,127.42740394929979,131.46015078245688,44
50,131.46015078245688,135.492897615614,52
50,135.492897615614,139.5256444487711,68
50,139.5256444487711,143.5583912819282,58
50,143.5583912819282,147.5911381150853,44
50,147.5911381150853,151.6238849482424,39
50,151.6238849482424,155.65663178139948,29
50,155.65663178139948,159.68937861455657,25
50,159.68937861455657,163.7221254477137,22
50,163.7221254477137,167.75487228087079,13
50,167.75487228087079,171.7876191140279,7
50,171.7876191140279,175.820365947185,2
50,175.820365947185,179.8531127803421,1
50,179.8531127803421,183.88585961349918,1
50,183.88585961349918,187.9186064466563,1
75,87.09993561772879,91.1326824508859,0
75,91.1326824508859,95.16542928404299,0
75,95.16542928404299,99.19817611720009,3
75,99.19817611720009,103.23092295035718,4
75,103.23092295035718,107.26366978351429,10
75,107.26366978351429,111.2964166166714,16
75,111.2964166166714,115.32916344982848,27
75,115.32916344982848,119.36191028298559,20
75,119.36191028298559,123.3946571161427,36
75,123.3946571161427,127.42740394929979,48
75,127.42740394929979,131.46015078245688,52
75,131.46015078245688,135.492897615614,54
75,135.492897615614,139.5256444487711,61
75,139.5256444487711,143.5583912819282,59
75,143.5583912819282,147.5911381150853,49
75,147.5911381150853,151.6238849482424,41
75,151.6238849482424,155.65663178139948,38
75,155.65663178139948,159.68937861455657,20
75,159.68937861455657,163.7221254477137,10
75,163.7221254477137,167.75487228087079,14
75,167.75487228087079,171.7876191140279,7
75,171.7876191140279,175.820365947185,4
75,175.820365947185,179.8531127803421,2
75,179.8531127803421,183.88585961349918,2
75,183.88585961349918,187.9186064466563,0
